7.97,0.45,0.53
7.98,0.46,0.53
7.99,0.47,0.53
8,0.47,0.52
8.01,0.48,0.51
8.02,0.49,0.5
8.03,0.49,0.49
8.04,0.49,0.48
8.04,0.49,0.47
8.05,0.48,0.46
8.06,0.47,0.46
8.07,0.47,0.45
8.08,0.47,0.45
8.09,0.47,0.46
8.1,0.46,0.46
8.1,0.46,0.47
8.11,0.46,0.48
8.12,0.45,0.49
8.13,0.45,0.51
8.14,0.44,0.52
8.15,0.44,0.52
8.16,0.44,0.53
8.16,0.43,0.54
8.17,0.43,0.55
8.18,0.44,0.55
8.19,0.44,0.54
8.2,0.45,0.53
8.21,0.46,0.52
8.21,0.46,0.51
8.22,0.47,0.49
8.23,0.47,0.48
8.24,0.46,0.47
8.25,0.46,0.46
8.26,0.46,0.45
8.27,0.45,0.44
8.27,0.45,0.44
8.28,0.44,0.44
8.29,0.44,0.44
8.3,0.43,0.44
8.31,0.43,0.45
8.32,0.44,0.46
8.33,0.43,0.48
8.33,0.43,0.49
8.34,0.43,0.5
8.35,0.43,0.51
8.36,0.42,0.53
8.37,0.42,0.53
8.38,0.42,0.53
8.39,0.43,0.53
8.39,0.43,0.53
8.4,0.45,0.52
8.41,0.42,0.52
8.42,0.39,0.51
8.43,0.35,0.49
8.44,0.65,0.56
8.45,0.53,0.57
8.45,0.42,0.56
8.46,0.4,0.54
8.47,0.38,0.51
8.48,0.31,0.5
8.49,0.2,0.46
8.5,0.11,0.46
8.51,-0.04,0.46
8.51,-0.12,0.47
8.52,-0.11,0.44
8.53,-0.21,0.4
8.54,-0.37,0.42
8.55,-0.63,0.45
8.56,-0.86,0.53
8.57,-1.17,0.61
8.57,-1.12,0.54
8.58,-1.28,0.47
8.59,-1.49,0.38
8.6,-1.79,0.37
8.61,-2,0.35
8.62,-2.29,0.36
8.63,-2.56,0.3
8.63,-2.72,0.33
8.64,-2.85,0.34
8.65,-3.05,0.38
8.66,-3.23,0.42
8.67,-3.37,0.44
8.68,-3.4,0.43
8.68,-3.56,0.45
8.69,-3.59,0.43
8.7,-3.62,0.41
8.71,-3.67,0.46
8.72,-3.7,0.51
8.73,-3.62,0.51
8.74,-3.51,0.52
8.74,-3.51,0.57
8.75,-3.46,0.61
8.76,-3.45,0.72
8.77,-3.37,0.81
8.78,-3.01,0.79
8.79,-2.97,0.91
8.8,-3.08,1
8.8,-3.05,0.96
8.81,-3.05,1.02
8.82,-3.06,1.05
8.83,-3.03,1.1
8.84,-3.12,1.19
8.85,-3.05,1.16
8.86,-2.94,1.06
8.86,-2.85,0.93
8.87,-2.69,0.83
8.88,-2.47,0.64
8.89,-2.23,0.46
8.9,-2.09,0.36
8.91,-2.01,0.34
8.91,-1.86,0.31
8.92,-1.67,0.25
8.93,-1.33,0.09
8.94,-1.04,-0.05
8.95,-0.94,-0.06
8.96,-0.73,-0.16
8.97,-0.57,-0.21
8.98,-0.4,-0.27
8.98,-0.29,-0.3
8.99,-0.2,-0.31
9,-0.09,-0.34
9.01,-0.06,-0.37
9.02,0.06,-0.46
9.03,0.32,-0.63
9.04,0.65,-0.81
9.04,1.32,-1.31
9.05,1.98,-1.8
9.06,2.52,-2.31
9.07,2.93,-2.73
9.08,3.21,-3.07
9.09,3.37,-3.34
9.1,3.47,-3.55
9.1,3.43,-3.74
9.11,3.56,-4.03
9.12,3.87,-4.43
9.13,4.26,-4.9
9.14,4.72,-5.4
9.15,5.21,-5.94
9.16,5.63,-6.44
9.16,5.94,-6.9
9.17,6.21,-7.35
9.18,6.36,-7.82
9.19,6.49,-8.27
9.2,6.56,-8.72
9.21,6.8,-9.24
9.21,7.19,-9.89
9.22,7.71,-10.58
9.23,8.19,-11.25
9.24,8.65,-11.93
9.25,8.96,-12.52
9.26,9.15,-13.07
9.27,9.28,-13.59
9.28,9.36,-14.1
9.28,9.42,-14.6
9.29,9.59,-15.16
9.3,9.92,-15.8
9.31,10.41,-16.41
9.32,10.71,-17.12
9.33,11.06,-17.98
9.33,10.96,-18.76
9.34,11.06,-19.5
9.35,11.05,-20.32
9.36,11.22,-21.13
9.37,11.44,-21.74
9.38,11.79,-22.66
9.39,12.04,-23.21
9.39,12.3,-23.83
9.4,12.6,-24.43
9.41,12.82,-24.95
9.42,12.79,-25.6
9.43,12.6,-26.47
9.44,12.55,-27.73
9.45,12.58,-29.38
9.45,12.98,-31.01
9.46,13.38,-32.53
9.47,13.69,-33.83
9.48,14.16,-34.97
9.49,14.24,-35.94
9.5,14.36,-36.82
9.51,14.43,-37.57
9.51,14.47,-38.13
9.52,14.33,-38.58
9.53,14.2,-39
9.54,13.96,-39.46
9.55,13.7,-39.98
9.56,13.52,-40.54
9.57,13.32,-41.16
9.57,13.14,-41.86
9.58,13.1,-42.48
9.59,13.05,-43.03
9.6,12.91,-43.6
9.61,12.78,-44.22
9.62,12.72,-44.81
9.63,12.65,-45.42
9.63,12.57,-46.1
9.64,12.46,-46.75
9.65,12.39,-47.47
9.66,12.32,-48.25
9.67,12.28,-49.1
9.68,12.35,-49.91
9.69,12.41,-50.73
9.69,12.5,-51.57
9.7,12.63,-52.4
9.71,12.75,-53.13
9.72,12.78,-53.97
9.73,12.88,-54.79
9.74,12.92,-55.55
9.74,12.85,-56.3
9.75,12.76,-57.19
9.76,12.71,-57.93
9.77,12.61,-58.6
9.78,12.51,-59.4
9.79,12.48,-60.19
9.8,12.43,-60.94
9.8,12.43,-61.71
9.81,12.44,-62.47
9.82,12.44,-63.1
9.83,12.41,-63.64
9.84,12.34,-64.29
9.85,12.31,-64.99
9.86,12.33,-65.58
9.86,12.39,-66.15
9.87,12.47,-66.67
9.88,12.47,-67.14
9.89,12.48,-67.6
9.9,12.43,-68.21
9.91,12.35,-68.81
9.92,12.27,-69.41
9.92,12.26,-69.96
9.93,12.39,-70.29
9.94,12.48,-70.6
9.95,12.44,-70.99
9.96,12.48,-71.39
9.97,12.42,-71.88
9.98,12.27,-72.45
9.98,12.15,-72.97
9.99,12.05,-73.44
10,11.94,-73.87
10.01,11.9,-74.25
10.02,11.95,-74.52
10.03,11.88,-74.88
